,Property_Area,Frequency_of_Powercuts,Traffic_Density_Score,Air_Quality_Index,Neighborhood_Review,Crime_Rate_equivalent,Water_Supply_equivalent,Dust_and_Noise_equivalent,Property_Type_equivalent,Power_Backup_equivalent
0,214,1.0,6.49,110.0,3.52,40,1.0,20,2,0.0
1,1664,0.0,5.59,81.0,4.19,40,1.0,20,4,0.0
2,3879,0.0,7.29,137.0,3.48,40,2.0,20,6,0.0
3,573,0.0,4.47,108.0,3.53,40,2.0,20,5,0.0
4,667,0.0,6.26,133.0,4.06,25,1.5,15,1,1.0
5,1309,0.0,6.83,140.0,4.11,50,2.0,20,4,0.0
6,553,1.0,6.8,100.0,2.27,10,1.0,20,2,0.0
7,140,2.0,6.59,152.0,3.15,50,2.0,20,2,1.0
8,686,0.0,2.53,39.0,4.95,50,1.0,10,2,1.0
9,4242,1.0,8.22,164.0,2.12,10,1.0,30,6,0.0
10,722,0.0,5.37,119.0,3.52,20,1.0,20,2,0.0
11,1232,0.0,6.94,105.0,4.78,50,1.0,20,4,0.0
12,923,0.0,5.74,107.0,4.16,25,1.5,15,1,1.0
13,243,0.0,7.28,115.0,4.45,50,2.0,20,2,0.0
14,669,0.0,6.7,153.0,3.46,50,2.0,20,2,0.0
15,2183,0.0,6.11,89.0,4.18,50,2.0,20,4,0.0
16,125,2.0,6.92,106.0,3.52,50,1.0,20,3,0.0
17,1181,0.0,5.21,102.0,4.79,25,1.5,15,1,1.0
18,2222,1.0,5.79,105.0,2.9,25,1.5,15,1,1.0
19,1223,0.0,6.52,118.0,4.14,25,1.5,15,1,1.0
20,685,1.0,8.15,187.0,3.35,50,2.0,30,2,0.0
21,2208,1.0,6.68,152.0,3.15,25,1.5,15,1,1.0
22,1611,0.0,6.86,150.0,4.09,50,2.0,20,4,0.0
23,1752,0.0,6.22,143.0,2.85,25,1.5,15,1,1.0
24,1257,0.0,6.47,142.0,3.48,40,2.0,20,5,1.0
25,2648,1.0,6.45,94.0,4.17,50,1.0,20,6,0.0
